index,return
1,0.00000000
2,0.00000000
3,0.00000000
4,0.00000000
5,0.00000000
6,0.00000000
7,0.00000000
8,0.00000000
9,0.00000000
10,0.00000000
11,0.00111000
12,0.00129856
13,0.00169591
14,-0.00057763
15,-0.00603868
16,-0.00224568
17,0.00000000
18,0.00000000
19,-0.00104498
20,0.00093543
21,-0.00209020
22,0.00000000
23,0.00567953
24,0.00636841
25,-0.00057709
26,0.00432073
27,0.00323156
28,-0.02110547
29,-0.00004038
30,-0.00260432
31,-0.00054651
32,-0.00206574
33,0.00125824
34,0.00000000
35,0.00000000
36,0.00000000
37,0.00000000
38,0.00000000
39,0.00000000
40,0.00000000
41,0.00000000
42,0.00000000
43,0.00000000
44,0.00212822
45,-0.00056632
46,0.00030356
47,-0.00920512
48,-0.01870380
49,0.00164385
50,-0.00248250
51,0.00000000
52,0.00000000
53,0.00000000
54,0.00000000
55,0.00000000
56,0.00000000
57,0.00000000
58,0.00000000
59,0.00000000
60,0.00000000
61,0.00000000
62,0.00000000
63,0.00000000
64,0.00000000
65,0.00000000
66,0.00000000
67,0.00000000
68,0.00000000
69,0.00000000
70,0.00000000
71,0.00000000
72,0.00000000
73,0.00000000
74,0.00000000
75,0.00000000
76,0.00000000
77,0.00000000
78,0.00000000
79,0.00000000
80,0.00000000
81,0.00000000
82,0.00000000
83,0.00000000
84,0.00000000
85,0.00000000
86,0.00000000
87,0.00000000
88,0.00000000
89,0.00000000
90,0.00000000
91,0.00000000
92,0.00000000
93,0.00000000
94,0.00000000
95,0.00000000
96,0.00000000
97,0.00000000
98,0.00000000
99,0.00000000
100,0.00000000
101,0.00271776
102,0.00211847
103,0.00040415
104,-0.00116015
105,0.00085038
106,0.00526376
107,0.00587526
108,0.00477523
109,-0.00297798
110,0.00313008
111,0.00081577
112,0.00421816
113,-0.00014204
114,-0.00054796
115,0.00438610
116,-0.00881476
117,0.00785290
118,-0.00714409
119,-0.00099881
120,-0.00310144
121,-0.00374559
122,-0.00126350
123,0.00000000
124,0.00000000
125,0.00000000
126,0.00000000
127,0.00000000
128,0.00000000
129,0.00000000
130,-0.00034970
131,0.00281916
132,0.00028728
133,-0.00340534
134,0.00973632
135,-0.00116198
136,-0.00630651
137,0.00665462
138,0.00067330
139,0.00787032
140,-0.00463272
141,-0.00880046
142,-0.00176342
143,0.00139679
144,-0.00459478
145,-0.00019577
146,0.00000000
