timestamp,symbol,price
2026-01-18T20:14:08.057727,AAPL,146.55
2026-01-18T20:14:08.068172,AAPL,141.09
2026-01-18T20:14:08.078663,AAPL,143.5
2026-01-18T20:14:08.088744,AAPL,140.03
2026-01-18T20:14:08.099147,AAPL,138.8
2026-01-18T20:14:08.109543,AAPL,140.69
2026-01-18T20:14:08.119945,AAPL,137.67
2026-01-18T20:14:08.130059,AAPL,141.77
2026-01-18T20:14:08.140357,AAPL,142.12
2026-01-18T20:14:08.150857,AAPL,140.85
2026-01-18T20:14:08.161267,AAPL,139.17
2026-01-18T20:14:08.172328,AAPL,137.18
2026-01-18T20:14:08.182781,AAPL,139.55
2026-01-18T20:14:08.193232,AAPL,136.5
2026-01-18T20:14:08.203630,AAPL,138.51
2026-01-18T20:14:08.213985,AAPL,138.84
2026-01-18T20:14:08.224643,AAPL,146.42
2026-01-18T20:14:08.235106,AAPL,149.19
2026-01-18T20:14:08.245304,AAPL,150.55
2026-01-18T20:14:08.255713,AAPL,155.22
2026-01-18T20:14:08.265943,AAPL,153.5
2026-01-18T20:14:08.276653,AAPL,157.44
2026-01-18T20:14:08.287519,AAPL,158.26
2026-01-18T20:14:08.297881,AAPL,157.69
2026-01-18T20:14:08.308262,AAPL,156.03
2026-01-18T20:14:08.319104,AAPL,156.17
2026-01-18T20:14:08.329694,AAPL,156.46
2026-01-18T20:14:08.340514,AAPL,159.93
2026-01-18T20:14:08.351476,AAPL,158.44
2026-01-18T20:14:08.361921,AAPL,158.99
2026-01-18T20:14:08.372420,AAPL,160.82
2026-01-18T20:14:08.382923,AAPL,160.33
2026-01-18T20:14:08.393248,AAPL,158.17
2026-01-18T20:14:08.403685,AAPL,159.74
2026-01-18T20:14:08.413764,AAPL,154.98
2026-01-18T20:14:08.423920,AAPL,148.52
2026-01-18T20:14:08.434166,AAPL,149.91
2026-01-18T20:14:08.444639,AAPL,150.36
2026-01-18T20:14:08.455235,AAPL,145.02
2026-01-18T20:14:08.465628,AAPL,141.41
2026-01-18T20:14:08.476155,AAPL,144.07
2026-01-18T20:14:08.486309,AAPL,144.33
2026-01-18T20:14:08.496428,AAPL,138.96
2026-01-18T20:14:08.507018,AAPL,137.68
2026-01-18T20:14:08.517356,AAPL,135.95
2026-01-18T20:14:08.527546,AAPL,134.49
2026-01-18T20:14:08.537812,AAPL,132.95
2026-01-18T20:14:08.548357,AAPL,130.43
2026-01-18T20:14:08.558814,AAPL,129.88
2026-01-18T20:14:08.569507,AAPL,130.79
2026-01-18T20:14:08.579680,AAPL,131.09
2026-01-18T20:14:08.589974,AAPL,135.74
2026-01-18T20:14:08.600886,AAPL,139.62
2026-01-18T20:14:08.611747,AAPL,140.08
2026-01-18T20:14:08.622526,AAPL,144.88
2026-01-18T20:14:08.633108,AAPL,147.55
2026-01-18T20:14:08.643560,AAPL,148.17
2026-01-18T20:14:08.654381,AAPL,147.19
2026-01-18T20:14:08.664908,AAPL,139.49
2026-01-18T20:14:08.675517,AAPL,142.85
